TS 推送
ZSQKY 指示器跨越
YKK 油可靠
RQHG 容器互感
GXWB 工序文本
DXSC 大修生产
JHJJS 交换机机设
TR 投入
TY 停运
QTFYCG 其他费用采购
BGMB 变更模板
SBLS 设备临时
GZHB 工作号表
GLGL 管理管理
BJND 部件年度
XLSS 线路所属
ZBJY 指标绝缘
DÀWJGL 档案文件管理
DWR 单位日
ZDZZ 自动装置
LGZ 量故障
Y 有
SBPB 设备票表
N 内
SBDL 设备电流
JHLQ 计划雷器
JSS 建设施
CT 成图
)SD )水电
ZJY 主键月
NXJB 年限基本
JSGZ 及时故障
XZZJ 细则专家
TJDY 统计低压
ZZ 装置
FYRC 费用人材
SD 输电
DZYX 电站营销
HTT 回填土
ZDH 自动化
CLID 存量ID
TZJZ 台账技术
ZBFBS 指标分布式
HS 函数
GZFH 工作负荷
FJ 分界
P 批
YB 用表
XDL 需电力
JS 计算
LPWB 两票文本
XZ 性质
GK 管控
BZZY 标准作业
JXGZ 检修工作
QKBJYB 情况表检月报
XY 协议
FLBG 分类变更
Y 月
TGDKQ 套管电抗器
QD 清单
ZZY 装置引
FZ 分值
BK 包括
XL 限流
JHZZ 计划资质
DYYH 低压用户
GSZY 公式作业
YT 一体
TJB 统计表
XQKG 线圈开关
JLXM 记录项目
TJ- 统计-
HWG 环网柜
SDL 售电量
GDR 过电日
JZLSG 交直流事故
JTDRQ 接头电容器
WTWT 问题问题
DJSJ 等级事件
JJ 经济
BF 报废
WH 完好
XDC 蓄电池
KYL 跨越六
MBBHW 摸板表红外
FSDLSS 方式电力设施
D 等
SBWD 设备问答
JHP 计划票
JLSD 记录湿度
BJ- 标记-
LY 利用
TJGD 统计工单
DNBD 电能表点
JC 监察
NXLY 年限利用
GMJD 规模进度
ZJGC 资金工程
S 市
GCSS 过程十三
UPS UPS
RD 熔断
CLZBRY 差流值班人员
XSGL 线损管理
）X ）箱
DWDM 单位点名
FXTP 分析拓扑
AM AM
ZBJG 指标结果
ZB 总部
QKJW 情况旧物
Z 值
DMGNWZ 代码功能位置
ZQ 正确
HT 回填
ZDHZL 自动化直流
SD 锁定
DMJHB 代码计划表
GZGT 改造杆塔
BJGL 部件关联
PJXZ 评价细则
RC 日常
DZRC 调整人材
SBHW 设备红外
GKBD 管控变电
JZ 机组
BJWT 部件五通
BZB 标准表
WX 误信
）SB ）申报
W 为
DIC dic
JYGL 检验隔离
ZQ 周期
CW 财务
DYX 对应箱
HS 户数
HGQJT 互感器接头
DZOMS 调整OMS
CX 成效
PM pm
LQ 雷器
256 256
QXY 缺陷月
DXOMS 大修OMS
BZPDL 标志牌电缆
JXYD 检修异动
ZX 专线
NRCL 内容材料
LBCZ 列表操作
LYXL 利用效率
XLQY 线路区域
JKOMS 接口OMS
SS 损失
JB 级别
ZLHC 直流缓冲
BZH- 标准化-
SBTR 设备投入
PBÈC 屏表二次
GMĀQ 规模安全
RY 人员
QXQX 抢修抢修
QKZX 情况执行
RJ 软件
)GS )估算
CKXX 出库信息
GZWB 改造文本
FH 复合
XXXX 信息信息
DSJZXM 地市级子项目
)Y )由
CJFX 拆旧分项
JÈJ 及二级
ZW 站外
SP 审批
)Z )站
JRDGT 接入点杆塔
TDYH 停电用户
QXGL 抢修管理
PDS 配电室
ZLHW 指令红外
GDZB 工单子表
QX 抢修
FB 覆冰
ZX 专项
YJ 一级
TQZD 同期驻点
ZD 自动
YCZT 钥匙状态
ZBD 字变电
ZBY 指标由
PCRW 批次任务
DR 当日
HBZX 汇报专项
LJ 邻近
ZD 重点
FDC 发电厂
XXFB 信息分布
JD 阶段
BZLX 标准类型
JGPZ 技改配置
TT 填土
GZSC 改造审查
GDGJBDL 管道工井表道路
JSB 及申报
JHBD 计划变电
SBYD 设备异动
-GB -柜表
SY 索引
GCXMSB 工程项目设备
F 方
JH 计划
ÈJ 二级
X 需
CS 参数
ZGW 整改为
LS 历史
ZZJJ 装置金具
）JL ）记录
TZGZ 跳闸故障
UPSXD UPS蓄电
B 被
JXN 接线内
JYS 建议书
DZFC 电站反措
BJCY 备件成因
PJXM 评价项目
PJGY 评价供应
DZBG 对照表各
QXWB 缺陷文本
2018 2018
BZH 标准化
DZ 地址
ZSPB 指示票表
XSCZ 巡视操作
)BD )变电
ZJDXDXFB 中间导线导线分布
KGBYQ 开关变压器
NRFJ 内容附件
ÈW 二五
ZQMB 周期模板
GZDW 改造队伍
JLBJS 记录表计数
CSJL 措施记录
SVG SVG
TY 退役
WCJX 外超接线
TJDB 统计对比
ZZ 子站
XFZ 需非主
BYQZF 变压器站房
MSLR 描述录入
GDYD 供电用电
SBXH 设备型号
WWWT 问问问题
FWGC 服务工程
PD 判断
RZ 容载
YGY 与供应
XXD 像蓄电
D 段
FZZD 负载终端
MXBMX 明细表明细
BZSB 标准数表
CD 长度
DYKG 低压开关
ZZQ 装置墙
YWWB 运维文本
TJR 统计日
LX 拉线
DYWL 低压物理
YZJL 验证记录
FL 防雷
FJDYC 分界点一次
ZX 中心
JKBD 接口变电
201 201
KGZSQ 开关指示器
SS 十三
YY 引用
B 变
JXDD 检修调度
DB 对标
DWSJ 单位事件
MM 抹面
DDLDL 大电缆电缆
BT- 不通-
KHGX 客户关系
DT 地图
SX 上下
DBBD 单表变电
SC 删除
SVG svg
JLBSD 记录表水电
WD 文档
GZSZ 工作设置
)ZT )状态
LBZB 列表准备
ZW 中文
YXPB 影响配变
BZ 编制
ĀQCS 安全措施
ZQJC 周期检查
MB 摸板
KBTD 库表通道
J 建
DF 电费
DK 调控
BBJZ 报表技术
PJQK 评价情况
CSXX 措施信息
KBGL 库表管理
SKY 所可研
DTYH 电通用户
DDKF 带电库房
CBGZ 抄表规则
YTHXD 一体化蓄电
HGQFD 互感器分段
SKBD 三跨变电
HJ 环境
DZJD 电阻接地
GZRY 工作人员
XXDF 信息得分
YLX 与类型
F 房
BZBJZ 标准表技术
TZ 跳闸
JHERP 计划ERP
FLZC 分类资产
DLSY 电缆试验
PDJH 配电接火
DLYT 动力一体
LQQ 冷却器
WX 危险
YX- 运行-
TJ 条件
HGQKG 互感器开关
HW 户外
FCS 反措施
W 无
GPGP 挂牌挂牌
ZF 重复
- -
TJFW 土建防误
GYSGY 供应商高压
CCZQB 储存周期表
DSJ 地市级
BZZH 班组组合
P 屏
DYZD 低压终端
MBCZ 码表操作
BH 包含
ZJB 在基本
DYJB 定义局部
ZC 资产
SBWX 设备无线
YPMS 与pms
ZC 主材
HL 合理
BHQT 保护器台
TJPG 统计评估
SK 实况
DDCK 带电仓库
CS 常事
WQT 外其他
ZHLR 转化录入
KQ 空气
YJ 压接
ZDYD 终端异动
GZD 工作点
GDY 过电压
SD 水电
BJDX 布局单线
YJ 移交
）WX ）维修
GZ 过载
QXGC 缺陷工程
XXBD 信息变电
QXZ 抢修中
HT 合同
JC 检查
BB 报表
）WT ）问题
TQPDP 台区配电盘
ZLD 直流电
TD 通道
ZB 照表
KQYT 空气一体
FLKZ 分类扩展
-YD -用电
QSM 全生命
DYQ 低压墙
JDT 及单体
TJPT 统计平台
WCZW 外超站外
Z 在
-FBS -分布式
SW 水位
GZB 工作班
TQBD 台区变电
WT 五通
JYZC 建议主材
DB- 单表-
）XT ）线图
GZBB 改造版本
YXBSBZS 运行表三表总算
SJ 涉及
ZLFB 质量范本
ZLML 资料目录
HGQZD 互感器终端
KLX 库类型
SJ 算机
SLHW 实例红外
BL 避雷
ST 实体
MBN 模板内
SBFC 设备反措
ZGJY 直管建议
ZSGL 柱上隔离
JHFX 计划分析
G 各
BBJG 报表结果
YZ 一致
JLZT 记录状态
LZ 量值
QZ 卡子
DBĀQCS 单表安全措施
XK 行库
JD 节点
DZXT 电站详图
SJST 市局实体
DLB 电流表
DY 对应
HGN 互感内
K 看
XSBZPZ 巡视标准配置
YSBZ 映射标值
DX 单线
FWDL 范围断路
DYQT 单一其他
PCT 批次提
ID- ID-
199 199
PDĀQCS 配电安全措施
； ；
TJCG 统计采购
JCZ 检测站
BDZTB 保电状态表
SJL 时间零
BLQLQ 避雷器雷器
LPW 量配网
SBZB 设备阻波
KGGCQ 开关柜穿墙
ZBGC 指标工程
BFWB 报废文本
HZBGC 汇总表工程
PDCW 配电测温
FGWB 分工文本
-DL -地理
JCMS 检测描述
BL 并联
RZCJ 日志厂家
JDBM 监督部门
DYXT 镀银箱体
JXJL 检修记录
ZT 总体
ÀLK 案例库
TZ 通知
CSFL 参数分类
TZ 投资
NDJH 年度计划
NRBT 内容表头
LS 临时
FJ 分级
S 闪
YZ 严重
XX 详细
FX 防汛
XTSB 系统设备
Z 则
ZJ 追加
DL 地理
SCFX 生产风险
ZYJB 重要基本
SCC 生产厂
SBDJ 设备等级
DYGL 对应隔离
Y 营
LPLP 两票两票
TJZC 统计资产
XY 需要
GCWJ 工程文件
LJ 路径
DQZL 电器直流
HLTZ 环路图站
HTWB 触头文本
GJ 根据
GZMB 改造模板
YYPZ 原因票子
6.4 6.4
SY 使用
BS 辨识
JJBCD 交接班差动
H 会
MLGJ 命令告警
PB 平波
DJ 档距
GZLX 工作类型
BBXT 变表详图
CC 此处
MXZ 模型再
MXBDB 明细表督办
GZRW 改造任务
JHZW 计划站外
ZHJLB 综合记录表
GMYT 规模一体
JXZB 检修专报
BZ 备注
GZ 工作
G 工
TJFD 统计分段
GDYH 供电用户
PHBZ 平衡步骤
TQDRQ 台区电容器
JHWX 计划维修
YÈC 一二次
JJX 经济性
DLQXT 断路器详图
MXRL 明细容量
GIS GIS
XT 下台
SBD 损变电
SBBB 设备版本
XD 细度
SBSD 设备输电
TJGM 统计规模
CJ 抄见
DZZW 电站站外
ZD 终端
TJTJB 统计统计表
FPZT 分配状态
TSGL 台数管理
ZBWC 指标完成
QKZB 情况总部
KBWL 库表物料
DDJ 电动机
PZ 配置
HGQHWG 互感器环网柜
LXGZ 例行工作
WS 网省
YSFX 预设分析
RWH 任务化
QXMS 缺陷描述
GZYJ 工作依据
PJJL 评价监理
SL 实例
ZXSB 最新上报
DZZ 电站站
XXJJ 信息降级
）Y ）应
GYSPD 供应商配电
ZL 指令
JLSY 记录试验
ÈZ 二种
LB 列表
BLQJC 避雷器监测
ZLJK 质量架空
JLBTS 记录表天数
TBCMS 同步CMS
KXSL 馈线数量
WZDX 外柱单线
MXDG 明细大纲
PJZB 评价主表
DJ 单据
GYS 供应商
RZTZ 日志投资
PCJB 批次解表
SW 实物
JS 接收
DMGZ 代码规则
DÉXS 定额系数
GGJG 公共技改
GSSY 公式试验
SJXX 数据消息
GZJDBH 工作继电保护
SBSC 设备生产
YB 压板
DS 地市
DYDRQ 低压电容器
PC 普查
QZ 全主
DYH 定义化
DYBG 电压变更
JTZ 简图站
)DL )电力
)ĀQCS )安全措施
DB 单表
YX 影响
PHB 平衡不
X 项
ZY 只有
DXH 调消弧
SBP 设备票
ZB 坐标
PB 屏表
HL 环路
LYSB 利用设备
JJL 及记录
BYY 变压应
BLQDX 避雷器单线
FW 服务
SJHZ 数据汇总
ZLGL 种类关联
BBJD 变表接地
JLMXDRQ 交流母线电容器
CZ 存在
DXJL 大修记录
F 分
WJ 网架
ZZGL 装置关联
MBBM 模板部门
4 4
JHSQ 计划申请
TYG 同一个
SBBD 设备变电
JHRW 计划任务
TX 图形
GZWX 改造维修
KXGX 馈线关系
DS 第三
DYDX 低压导线
HGQZL 互感器直流
NRGL 内容管理
C 除
FWCZ 范围操作
TJDL 统计断路
C 侧
FSJD 方式接点
WCZT 外超专题
ZC- 资产-
YS 样式
FJ 分局
ZY 资源
CLTZ 测量通知
BLQJB 避雷器接班
SBBJ 设备备件
L 量
DLDLX 动力动力箱
HGQZT 互感器专题
ZB 帐表
KXWL 馈线物理
ZXJG 子项结果
DSFC 调SFC
DLGGD 电缆沟管道
XD 线段
ZZQY 装置迁移
BJ 背景
BBSY 报表试验
HZBJD 汇总表进度
JXND 检修年度
WX 维修
XLBB 线路报表
TQFB 同期分布
PH 配合
KGG 开关柜
XSLX 巡视类型
BZDDZY 标准带电作业
－ －
SQXC 时抢修车
MBH 模板化
WS 晚上
JG 机关
TQ 台区
YDY 与队员
JRDFD 接入点发电
SZ 设置
TYJL 停役记录
GF 规范
T 台
L 流
BBWT 报表问题
FJBJDW 分解表监督网
BG 报告
ZFBD 主副表点
XSML 线损目录
J 检
HB 汇报
YG 有功
JCXG 交叉修改
DDCB 调度储备
ERP erp
350 350
JKSS 接口实时
BZBD 标准变电
JLBZTB 记录表状态表
DLDL 电流断路
TXQKB 提醒情况表
DYJ 低压接
SJBJH 数据表计划
TYBBBD 通用报表变电
JHWC 计划完成
DXZY 对象专业
QKBJM 情况表界面
KQ- 空气-
HGQDX 互感器单线
RYJL 人员记录
DLN 电缆内
DYRDQ 低压熔断器
BZBZB 标准标准表
JCHW 检测红外
JLBHW 记录表红外
JK 监控
G 该
DT 代替
QPZ 器配置
JK 架空
CQ 采取
YB- 压板-
ZZXT 装置详图
DYDY 低压低压
SG186 sg186
ZDHXXXT 自动化信息系统
YGZ 与工作
DX 导线
PD 配电
PDGT 配电杆塔
ZWM 中文名
SJ 省间
KBSZ 库表时钟
DLQ 调雷器
XBDDZY 箱变带电作业
YÀ 预案
FX 分析
BZJL 班组记录
DL 独立
GZDX 改造地形
PJBD 评价变电
ZYP 资源票
JLPW 记录配网
BHDLSS 保护电力设施
TBDM 同步代码
DZDB 电站段表
ZZDY 装置电源
HZL 换直流
GDGZ 工单工作
HGQZ 互感器站
JQ 加强
ZGC 周工程
ZBTJB 指标统计表
）CZ ）存在
XLXL 线路线路
RZSCB 日志实拆表
GDDR 工单单日
KGGT 开关杆塔
DC 电厂
DYBD 对应变电
BGXM 报告项目
J 经
DL 跌落
DYQX 低压抢修
DQFY 地区费用
BSP 标示牌
SJL 省记录
FY 费用
WG 无功
DX 电系
SDTT 输电铁塔
JXJR 检修接入
BTRC 不停人材
PGL 票关联
JY 精益
JJWX 计价维修
QXSB 缺陷设备
KKXYH 可靠性用户
DYÈC 低压二次
DD 带电
JCLQ 检测雷器
GZKF 改造开发
JCDD 检测带电
DLQN 断路器内
ZSQJD 指示器接点
ZTBSG 状态表事故
YW 运维
JYZ 绝缘子
XZ 修正
JXZT 接线专题
TJ 土建
DBSW 单表实物
BTDX 表头大项
RDBB 熔断变表
FTU FTU
SYD 索引的
10KV- 10KV-
GD 孤岛
SBLX 设备类型
BZGL 变重关联
GCL 工程量
XLFN 线路防鸟
YM 盐密
X 详
SG 事故
BB 包包
JLKF 计量库房
ZLZB 质量主表
YL 一览
JQX 及抢修
LS 列数
DKQ 大跨区
DLYZ 电流原则
TJSS 统计实施
）XL ）线路
CJMXDRQ 创建母线电容器
GCLX 工程立项
ZSGZ 指示隔直
LJZY 连接中压
JYHGX 集约化关系
XF 细分
GZ 购置
DZ 端子
FB 阀表
CPGG 产品公共
GDDB 工单段表
DK 电抗
XG 相关
GZQX 改造抢修
QGL 卡管理
YJGL 预警关联
）（ ）（
GMDL 规模断路
FS 方式
LRW 量任务
JDY 监督月
JCXD 检测蓄电
ZX 重新
ZDHZL 自动化治理
SBSD 设备水电
B 不
JTDL 接头断路
DYXT 低压详图
TQTZ 台区图站
BPSG 变频施工
GB 公变
RZJDB 日志进度表
BGSB 报告设备
TB- 图表-
GZXS 改造修试
LPRW 两票任务
BSXM 辨识项目
YFW 与服务
JLBZ 记录表中
JDJD 接地接地
ZZ- 装置-
GCYS 工程预审
BH 变换
BY 变压
SY- 试验-
JTH 接头盒
DXXT 导线详图
XFXTZM 消防系统照明
PDBYQ 配电变压器
SWCWXX 实物错误信息
-SS -实施
JXKC 检修勘察
QXYH 抢修用户
SBZB 设备帐表
JSDWJL 接收单位记录
JG 间隔
T 图
DZRY 调整人员
YJML 依据目录
XQBG 详情变更
DMCZ 代码查找
LBD 量变电
QX 缺陷
YDGC 月度工程
D 待
GZĀQCS 工作安全措施
CBGG 车表公共
TXGC 图形工程
GZDYZ 工作第一种
GGXXCL 公共信息车辆
FC 反措
QXC 全现场
YD 移动
XLSS 线路设施
ZS 柱上
MXWH 明细维护
TYRW 停役任务
GZSQ 工作申请
DÉJT 定额接头
XKXM 许可项目
TD 停电
DZX 大支线
DTP 电通票
QBKG 器表开关
RZHZB 日志汇总表
ST 室图
G) 杆)
TS 塔上
ZY 作业
PDXT 配电详图
TJWX 塔基维修
XLDXB 线路地线表
LJ 率及
TJYG 统计用工
YXSB 运行数表
DYBXB 低压表箱表
HZ 汇总
JSJ 机数据
TJPW 统计配网
C 长
SBSY 设备试验
CZ 操作
DBDY 地表单元
DBGL 单表关联
CS 拆实
DMWB 代码文本
QCQC 清册清查
ÀLHF 案例恢复
RQPD 容器配电
FXSF 发信收发
PWRCSW 配网日常事务
DTXX 电通信息
TJSH 统计审核
FHZ 负荷站
JL 基类
DLDL 电缆电缆
Z 做
YX 运行
DZ 调整
BPCW 变频财务
DZBYH 对照表用户
NZT 内专题
IDLB ID列表
DÉCF 定额存放
TJB 统计不
JXXM 检修项目
JDLCB 节点里程碑
BFDÈZ 报废第二种
PDJG 配电结果
JHY 计划月
CS 产生
JXSJX 检修数据项
QK 情况
NC 农村
BCDYZ 补充第一种
JYÈ 件一二
PJ 评价
BMXX 编码信息
DZCW 电阻测温
YÀR 预案日
XXQX 信息抢修
ZY349 装用349
JSJL 进水记录
QXLB 缺陷率表
ZR 昨日
DLDL 电力电缆
JLBZY 记录表资源
DMC 代码测
DSB 典设表
CF 存放
KXJR 馈线接入
JY 具有
BF 部分
ZXSCADA 站线SCADA
WK 五库
FF 方法
JG- 技改-
GZDL 工作电缆
S 树
XB 项表
ZB 主变
ZRQ 责任区
SS 受损
YXBG 营销变更
DL 电缆
JJ 机井
SCSXQX 生产事项抢修
GZGL 改造关联
ZLZ 直流站
DM 点名
FZPB 负载配变
ZYTY 主要通用
H 化
SBKX 设备馈线
SFXJ 收发信机
ZJERP 资金erp
GLF 管理方
SZT 室专题
GZXZ 改造选择
L 零
PBSJ 配变事件
)ZY )作业
ZF 正反
ZRGL 责任关联
JHGC 计划工程
GD 供电
] ]
BSWB 辨识文本
XBDX 项表大项
DZGL 电阻隔离
SB 设备
ZBXG 主表修改
JHDL 计划电流
ZCXZ 资产新增
FZ 分支
JHJB 计划接班
PDTD 配电停电
TX 塔形
KXLX 馈线例行
ZJ 证件
ZM 照明
ZNH 智能化
TB 停表
GZHXY 工作护线员
QB- 器表-
DR 导入
CJ 测距
NXLX 年限类型
RL 容量
SS 所属
J 夹
BZ 标志
XGDZ 相关电站
DTXXJR 地图信息接入
JBDKQ 极表电抗器
KB 库表
JLBXG 记录表相关
YW 业务
JHJG 计划技改
ZXDB 最新对比
PBZ 配变重
XS 锈蚀
BC 补充
TJDM 统计代码
JCJ 检查井
JS 监视
XTJD 系统接地
JHDY 计划电压
BG 保供
BC 保存
ZSCW 柱上测温
ZYND 资源年度
JHZD 集合终端
TS 天数
DL 断路
LX 类型
ZYSXBB 注意事项版本
HJ 户均
GMTJB 规模统计表
QBZ 器表主
JS 金属
GCXMJG 工程项目结果
NXFD 年限分段
TQT 台区图
JCGC 检测观测
JZT 及状态
XZ 新装
WJY 网架月
YQ 要求
DY 打印
BD 变动
GT 杆塔
BGND 报告年度
CY 常用
GDGZ 工单故障
TS 提示
JLR 记录日
DFWZ 得分物资
CX 出线
BSP 标识牌
SÈW 十二五
XLBD 线路变电
DY 电压
GCZY 工程作业
19 19
BLBCB 比例表成本
YDXM 移动项目
FZBJL 发展部交流
DLBXM 电流表项目
TQBS 台区标识
ZXRZ 中心日志
GZ 规则
LGL 量关联
RG 如果
SYXJ 所用相机
GMRW 规模任务
CFCZ 拆分操作
SN 水泥
XMBPG 项目表评估
TJQX 统计抢修
YDJR 用电接入
NL 能力
PDRDQ 配电熔断器
BZ 本周
DBLB 单表列表
GZJC 改造监测
JLBWH 记录表维护
JLJT 交流静态
ZPZ 闸票子
TDTZ 停电通知
JS 架设
ZCBF 资产报废
PBFZ 屏表辅助
SKGL 水库关联
QX 曲线
QKBND 情况表年度
DX 对象
K 跨
DJGC 定级工程
XMBLX 项目表类型
WY 唯一
CCBD 储存变电
GJ 归集
BL 比例
JJDW 基建电网
GMZB 规模总部
HQ 获取
ĀZGC 安装工程
CXM 常项目
CSRW 措施任务
XXGL 信息管理
SJDL 数据电流
M 帽
ZYDDZY 作业带电作业
ZZWX 装置维修
YZ 一种
TJMD 统计名单
ZWDL 主网断路
Z 主
JDY 及电压
JKX 接口型
ZDL 在断路
BZWJP 标准文件票
KBYQ 库表要求
JJJL 交接记录
ZK 阻抗
DL 电力
QCYSB 清册预算表
PJBJ 评价部件
BX 不锈
BYQ 变压器
ZZZR 装置自然
RQDZQ 容器电阻器
JJ 解决
/CZ /操作
FZ 辅助
DX 典型
BSPYC 标识牌一次
SXT 式详图
WHL 完好率
DBKG 地表开关
）FC ）分层
YH 用户
KBLB 库表列表
BLXJC 避雷线检测
ZLGL 质量关联
XMBGC 项目表工程
FXLX 分析类型
KK 可靠
ZLSL 资料水冷
TJTZ 统计投资
DB- 段表-
）P ）票
S 室
PC 批次
LJXX 逻辑信息
QT 其他
T 停
DZ 动作
JYSZ 建议书主
CLYD 处理用电
DCZ 倒操作
JLBZT 记录表状态
JD 季度
ZRQ- 责任区-
FD 发电
TX 通信
S 时
ZJ 终结
DY 多余
DLDL 电缆电流
GZLP 工作两票
KG 开工
ZLHX 资料画像
TJZR 统计昨日
JXY 检修预
BM 部门
GXDX 关系单线
SW 省外
SBZX 设备张线
SZ 双重
JG 机构
YLJC 压力检查
BZBSS 标准表十三
JWC 及完成
HT 护套
TBFJ 同步附件
GMXD 规模蓄电
JXDX 接线单线
JLBQT 记录表其他
JSB 机设备
D 地
YB 预报
JCSJ 监测数据
BWHW 部位红外
GGDS 该供电所
SBQD 设备清单
CW 仓位
JXBD 检修变电
SBZ 设备主
DWYH 单位用户
XXF 信息发
WD 舞动
JYFB 检验范本
YH 隐患
SX 属性
QYC 卡一措
GMDDZY 规模带电作业
GZSB 工作设备
PJZG 评价整改
DLQHG 断路器互感
MX 明细
CSJ 测数据
DYRW 对应任务
DB 段表
)R )日
BSBP 辨识备品
DYDL 低压电缆
HZBB 汇总版本
FH 返回
HGQXT 互感器详图
DYGT 低压杆塔
DXFJ 大修附件
JLDL 记录电流
PDKX 配电馈线
YDWB 月度文本
ZQYQ 周期仪器
P 票
QKJHB 情况计划表
JLBS 记录闭锁
GDKH 归档客户
SB 数表
6.2 6.2
JLJL 监理监理
L L
YWL 运维类
DYDYZ 第一第一种
XC 修车
CB 成本
XQ 详情
TY 停役
BJBG 备件变更
BD 变电
GMDL 规模电缆
ZL 种类
HFB 换阀表
LJDB 连接点并
BMZT 编码状态
JCGC 检测工程
XHJ 需环节
XTBH 系统保护
C 超
ZS 装设
FB 范本
LZT 量状态
XLKB 线路空表
JB 基本
JH- 计划-
TQPW 台区配网
JLBJB 记录表接班
B 本
RC 容错
JB 解表
PCWZ 批次物资
PJ- 评价-
B， 本，
SJ 省界
SC 时长
TQYH 同期用户
ZD 诊断
DBGZ 单表工作
DZJJ 电站紧急
CS 出水
TQZW 台区站外
ZZTB 装置图表
XMFÀ 项目方案
GCLB- 工程量表-
SY 剩余
SBFÀ 设备方案
ZBGL 主表管理
CSWX 参数维修
SQB 申请表
JLBXM 记录表项目
GNWZRZ 功能位置入账
ZZ 整治
DCXD 电池蓄电
W 往
DXDL 地线断路
JC 基础
BYDX 变压单线
JCSB 检测设备
ZCZY（ 资产资源（
GN 功能
GMND 规模年度
XTZB 系统载波
J 界
TBLX 同步类型
MXDX 母线单线
BLQZT 避雷器专题
S 三
X 箱
MBGL 模板关联
ZQBD 周期变电
GBB 工表报
DRQ 电容器
DZ 电子
DDB 电点表
QXPD 缺陷判断
JJS 及解锁
FX 风险
SBWB 设备文本
YS 验收
GMRL 规模容量
DWZR 单位责任
JDZGT 及电站杆塔
ZTBSB 状态表设备
BZFB 标准范本
JX 绩效
DLN 电流内
YQSY 仪器试验
QWB 卡文本
GZZX 改造执行
XC 现场
QD 签订
)X )箱
FXFZ 分析辅助
JHZB 计划子表
）20% ）20%
BH 保护
JHXX 计划形象
WZGZ 位置故障
XXTB 信息图表
XLJL 线路记录
CF 拆分
DL 电流
FBYB 覆冰预报
QXJC 倾斜检测
JG 结构
PJLX 评价类型
DLDX 电缆单线
XSZY 线损主要
JLMB 记录模版
XTG 系统各
PH 平衡
DYDL 低压电流
SBDR 设备导入
GCJD 工程进度
JDGX 季度贡献
JS 江苏
LJD 连接点
WZZ 外柱站
BLDL 保留电力
ZL 治理
GGXM 公共项目
XLXS 线路巡视
JDWX 脚钉维修
ZBZ 指标子
ZBXG 指标修改
KX 馈线
BC 补偿
BBWB 报表文本
JTZ 接头站
10KV 10KV
JG 加工
CJ 厂家
BZHYH 标准化用户
JLBCL 记录表材料
TZ 图站
ZR 转入
WJSH 文件审核
ZG- 直管-
SBSB 设备数表
TPBH 拓扑保护
FHGL 负荷隔离
ZY 专用
KGXT 开关详图
GCZB 工程主表
YJPB 预警配变
X 下
TJFX 统计分析
YYYD 营业用电
SS 实施
）LZ ）零值
FS 敷设
TZ 台账
GNB 功能表
JZX 家族性
DZTZ 电站图站
TJSJ 统计事件
HP 护坡
JZL 交直流
RH 润滑
LD 漏点
YF 预防
DDCL 带电车辆
D 定
XL- 线路-
PB 票表
YXZS 运行柱上
DBSQ 单表申请
JC 监测
DYDL 对应电力
DMGL 代码关联
JGBM 技改部门
WHB 外合并
DYF 低压反
SBFD 设备发电
FZZT 辅助专题
DDY 低电压
LJX 连接线
LXHW 类型红外
DZ 导则
PJZJ 评价中间
XMZ 项目组
P 配
JLWF 记录五防
JH 交换
X 行
DZDX 电站单线
SJLC 事件流程
DZQ 电阻器
LBQKQ 滤波器空气
DX 单相
XXSJB 信息数据表
DZ 电阻
92 92
BZSY 标准试验
JWX 及维修
ZBD 在变电
H 号
ZSY 周试验
MPHG 铭牌互感
SDQX 送电抢修
BLY 保留应
QKBZT 情况表状态
YS 映射
JHND 计划年度
SHB 室合并
HSGDB 核算工单表
C 成
ZCZL 资产增量
FBDL 覆冰电缆
DXKX 地线馈线
FF 防范
J 减
SM 寿命
JÉW 及额外
YDTJB 月度统计表
ZMBBJ 直埋表标记
GZRW 工作任务
JXYB 检修一表
）Z ）字
GZXX 改造形象
PJZT 评价状态
DKQ 电抗器
TQRDQ 台区熔断器
JXX 及信息
DBDX 段表导线
C 此
XB 箱表
HDDD 核对调度
BJLX 部件类型
YDYH 月度用户
SBFB 设备范本
JGSW 技改实物
XTGDDS 系统管道电视
ĀP 安排
)BK )包括
GZSS 工作实施
SJ 上级
FB 分布
SBJB 设备基本
GZGC 改造工程
QXWH 抢修文号
BJ 备件
XJ 相机
GYSGL 供应商关联
XJYT 巡检一体
CT（ 成图（
N 耐
LR 录入
SBZJ 设备中间
GZ- 工作-
SDX 式单线
PM PM
GZQD 工作启动
YS 盐水
DLXT 电缆详图
RTU RTU
YSCL 预算材料
RQDX 容器导线
YM 页面
XHGL 序号管理
JRJD 接入接点
JRD 接入点
）JS ）计算
GJGL 归集管理
PD- 配电-
LS 落实
QKZQL 情况正确率
CGJH 采购计划
GXH 工序化
XT 系统
QR 确认
BLXJL 避雷线记录
ZDSB 终端设备
ZBND 主表年度
DLZD 电缆终端
GNWZDY 功能位置定义
W 未
XXQK 消息情况
QXJL 缺陷记录
JW 警卫
SJ 时间
DDPM 调度屏幕
MLSY 目录索引
WZ 位置
JDB 进度表
NL 年龄
ZBCD 指标长度
ZGSC 整改生产
FBDÀ 范本档案
CX 查询
HD 横担
CGB 成公变
JZĀZ 建筑安装
QKSJ 情况事件
WZRDQ 外柱熔断器
BZBK 标准表库
PJBM 评价部门
QDSM 清单扫描
BD 保电
GZ 改造
JLBRW 记录表任务
